id,sample_category,sha,msg_index,labels_gpt,labels_claude,labels_a1,labels_a2,labels_consensus
1,1.1 New Implementation,9d07c80fc03a9540e0ee9beae27969308eba3c08,3,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
2,1.1 New Implementation,6abc1588bbca6de548aded544260951445e914d8,4,"1.1 New Implementation
3.1 Planning & Consultation","1.1 New Implementation
3.1 Planning & Consultation","6.1 Documentation
1.1 New Implementation",3.1 Planning & Consultation,"1.1 New Implementation
3.1 Planning & Consultation"
3,1.1 New Implementation,b9b7437fb53ba465f6d534fd7abc476d6e76ee53,0,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
4,1.1 New Implementation,1ef928df81e12f6a00755c3db36803dee0890ae2,0,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
5,1.1 New Implementation,f5b17426b3049ecfca30d415a4c8484d05c1c8f0,2,"3.1 Planning & Consultation
1.1 New Implementation","3.1 Planning & Consultation
1.1 New Implementation","1.1 New Implementation
3.1 Planning & Consultation","1.1 New Implementation
3.1 Planning & Consultation","1.1 New Implementation
3.1 Planning & Consultation"
6,1.1 New Implementation,e9fdd97c7f4957753553bd598499c8cac1018b69,1,1.1 New Implementation,"1.1 New Implementation
4.2 Behavior Specification",1.1 New Implementation,"1.1 New Implementation
4.2 Behavior Specification",1.1 New Implementation
7,1.1 New Implementation,666d002c2b9804508bdf9ad82607280abc9a1542,0,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
8,1.1 New Implementation,bf3b392f8c75d7a1488e181552c8d56e81cb8d54,0,"6.2 Toolchain Operation
1.1 New Implementation
4.1 Information Injection","4.1 Information Injection
1.1 New Implementation",6.2 Toolchain Operation,1.1 New Implementation,"6.2 Toolchain Operation
1.1 New Implementation
4.1 Information Injection"
9,1.1 New Implementation,6e0f66ee8ed1bc0ea5e5a7eb66b27b9ed51742b3,9,"1.1 New Implementation
4.2 Behavior Specification","1.1 New Implementation
4.2 Behavior Specification",1.2 Iterative Modification,1.1 New Implementation,"1.1 New Implementation
4.2 Behavior Specification"
10,1.1 New Implementation,de26a279a4eb7a8f71fb3d3f1330f87d498cb7c5,0,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
11,1.1 New Implementation,2e82b11ac59d6de8135db97036237ea35701a275,10,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
12,1.1 New Implementation,7b210daa0395aee4b2a520d1d8ab27b49bc0386f,45,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
13,1.1 New Implementation,069d298705471eb02e5b2fd6f013fc087054f16e,43,"6.1 Documentation
1.1 New Implementation",1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
14,1.1 New Implementation,e1a95c039b61baaf3303d8e66cdca0dbb6c0eee7,0,"1.1 New Implementation
4.1 Information Injection","4.1 Information Injection
1.1 New Implementation",3.2 Project Comprehension,1.1 New Implementation,"1.1 New Implementation
4.1 Information Injection"
15,1.1 New Implementation,d901cb6c785cad9bcb845e601ce86a5606777f9c,0,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
